,Book_ID,Judul,No. ISBN,Penulis,Penerbit,Tanggal terbit,Kategori,Description,img_small_link,img_large_link
10,11,Kisah Seru Bintang Sepak Bola Muslim,9786021258514,Sri Wahyuti,Adi Bintang,Januari - 2014,Biografi,"BUKAN BICARA BOOM TAPI GOOOLLL!Bicara tentang gol-gol spektakuler dalam sepakbola, sudah biasa. Tapi kalau cerita tentang bagaimana perjuangan para bintang sepakbola di dunia mereka, itu baru luar biasa. Kita pernah dengar bagaimana Lionel Messi harus berjuang melawan tubuhnya yang susah berkembang lalu kemudian menjadi superstar sepakbola dunia. Kita juga pernah dengar bagaimana Cristiano Ronaldo yang selalu menangis saat kalah, dan hal itu memotivasi dirinya menjadi superstar sepakbola dunia. Seru dan inspiratif. Kali ini kita tidak bicara bintang sepakbola pada umumnya.Kita bicara para bintang sepakbola Muslim. Cerita seni tentang perjuangan mereka menjadi superstar sepakbola dunia dengan tetap teguh menjadi seorang muslim yang baik. Mereka berjuang lewat pembuktian, bahwa mereka tetap mampu berprestasi.",https://www.bukukita.com/babacms/displaybuku/71522.jpg,https://www.bukukita.com/babacms/displaybuku/71522_f.jpg
11,12,Di Penghujung Pelukan (Disc 50%),9789797945367,Iit Sibarani & Momo DM,TransMedia Pustaka,Mei - 2017,Romance,view Di Penghujung Pelukan (Disc 50%),https://www.bukukita.com/babacms/displaybuku/100234.jpg,https://www.bukukita.com/babacms/displaybuku/100234_f.jpg
12,13,Just You and Me,9786239020927,Titi Sanaria,Storial Publishing,November - 2019,Remaja,"SinopsisAkibat berselisih dengan ayahnya, Keyra kabur dari rumah. Ia yang terbiasa hidupnyaman kini hidup prihatin tanpa sepeser uang pun dengan menumpang di kontrakansahabatnya, Yanti. Hidupnya semakin kacau saat Keyra terlibat debt collector yangmengejar-ngejar Yanti agar membayar utang ayahnya yang menghilang. Karena itu jugalahKeyra bertemu Ferdyan yang salah sangka mengira kalua perempuan itu adalah penari yangdipesan untuk bachelor party seorang sahabatnya.Selling PointCerita romance yang menarik dengan teknik menulis yang mumpuni danmendapatkan view tertinggi di website Storial.co sebanyak 820K",https://www.bukukita.com/babacms/displaybuku/113832.jpg,https://www.bukukita.com/babacms/displaybuku/113832_f.jpg
13,14,Sukses Budidaya Jahe (Untung Bersih Hingga 95 Juta),9786026380883,Tim Penerbit,Anak Hebat Indonesia,April - 2017,Tanaman & Taman,"Permintaan akan rimpang jahe dewasa ini terus meningkat terutama dalam menunjang ekspor komoditas nonmigas.Bentuk produk hasil tanaman jahe yang biasa diperdagangkan di pasar iriternasional adalah jahe segar dan jahe asinan. Peluang agribisnis tanaman jahe sangatlah terbuka lobar karena hingga saat ini kontribusi ekspor jahe Indonesia di pasar internasional masih sangat kecil. Untuk menunjang dan meningkatkan pengembangan agribisnis tanaman jahe, maka dibutuhkan informasi praktis mengenai seluk beluk komoditas jahe.Maka buku ini diharapkan dapat menjadi sumber informasi praktis bagi siapa saja yang tengah bersinggungan dengan komoditas jahe.terutama adalah para pelaku usaha budidaya jahe.",https://www.bukukita.com/babacms/displaybuku/100040.jpg,https://www.bukukita.com/babacms/displaybuku/100040_f.jpg
14,15,Risalah Shalat dan Majmu Syarir Superlengkap,9786022160229,IBNU WATINIYAH,Puspa Swara,Februari - 2016,Islam,"Majmu Syarif adalah kumpulan surah, doa, zikir, shalawat, tuntunan ibadah, beserta keutamaan-keutamaannya. Di dalam buku Risalah Shalat & Majmu Syarif Superlengkap ini disajikan secara lengkap amalan-amalan tersebut, dari mulai sejak fajar hingga petang, sejak lahir hingga wafat. Ada pula yang berhubungan dengan peristiwa dan peringatan tertentu. Disertakan transliterasi latin sehingga memudahkan dibaca oleh mereka yang awan atau belum bisa membaca tulisan Arab.",https://www.bukukita.com/babacms/displaybuku/90783.jpg,https://www.bukukita.com/babacms/displaybuku/90783_f.jpg
15,16,PINKLUV (Non TTD) (Disc 30%),9786026922076,Tisa TS.,Loveable,Maret - 2016,Romance,"Apa bener kalo cinta itu selalu menyakitkan? Nggak juga, sih. Cinta diciptain Tuhan buat ngewarnain hidup kita. Yang seringkali manfaatin cinta buat nyakitin itu, ya manusianya, kita sendiri. Contohnya nih ya, kita jatuh cinta sama seseorang, terus kita baper (terbawa persaaan). Karena kita baper, kita jadi ngerasa di PHP (pemberi harapan palsu), trus patah hati. Sebenernya sih, mungkin aja dia nggak PHP-in kita, lah kitanya aja yang ke-baper-an dan berharap terlalu tinggi. Sakit hati, deh. Ujung-ujungnya, yang kita salahin cinta juga. Padahal, kata orang, cinta nggak pernah salah, kan. PINKLUV bukan buku anti-patah hati atau jadi jaminan kita bakal jadi ahli soal cinta. PINKLUV cuma sharing aja, sih berbagi makna tentang cinta, memahami cinta itu seperti apa, dan menikmati cinta yang sedang atau pernah kita rasakan. Yang jelas, PINKLUV bakal bikin kamu ngerti apa arti-baper yang sesungguhnya.***Whoaa extraordinary! this book took me a roller coaster!! Utterly heart gripping - Michelle ZiudithJatuh cinta! Its a fresh book i always to light up my mood. Inspirational and very up lifting. Aku selalu kagum sama penulis hebat satu ini, sukses Mommy! Salam, Pinkluv! - Agatha Pricilla Blink",https://www.bukukita.com/babacms/displaybuku/91582.jpg,https://www.bukukita.com/babacms/displaybuku/91582_f.jpg
16,17,Kumpulan Khotbah Jumat Terbaik Sepanjang Tahun Hijriah - Hard Cover,9786026563729,"Abdul Bakir, S.Ag",Senja Publishing,2018,Islam,"Khutbah memiliki kedudukan yang agung dalam syariat Islam sehingga sepantasnya seorang khatib melaksanakan tugasnya dengan sebaik-baiknya. Seorang khatib harus memahami aqidah yang benar sehingga dia tidak tersesat dan menyesatkan orang lain.Seorang khatib seharusnya memahami fiqh sehingga mampu membimbing manusia dengan cahaya syariat menuju jalan yang benar dan lurus.Seorang khatib harus memperhatikan keadaan masyarakat, kemudian mengingatkan mereka dari penyimpangan dan mendorong kepada ketaatan. Seorang khatib sepantasnya juga seorang yang shalih, mengamalkan ilmunya, tidak melanggar larangan Allah Swt. sehingga akan memberikan pengaruh kebaikan kepada para pendengar.Selamat Membaca....",https://www.bukukita.com/babacms/displaybuku/112663.jpg,https://www.bukukita.com/babacms/displaybuku/112663_f.jpg
17,18,Feel Real (Disc 50%),9789797808914,Radin Azkia,GagasMedia,Juli - 2017,Teenlit,view Feel Real (Disc 50%),https://www.bukukita.com/babacms/displaybuku/100939.jpg,https://www.bukukita.com/babacms/displaybuku/100939_f.jpg
18,19,11.11 I Wish For You By The Way,9786239053406,YOURKIDLEE,Reynara,Agustus - 2019,Romance,view 11.11 I Wish For You By The Way,https://www.bukukita.com/babacms/displaybuku/113112.jpg,https://www.bukukita.com/babacms/displaybuku/113112_f.jpg
19,20,Catatan Rahasia Dokter Pribadi Hitler,9786027542303,David Irving,Oncor Semesta Publisher,Februari - 2014,Memoar,"""Hitler adalah seorang hipokondriak (selalu merasa sakit). Sejak awal masa mudanya dia jarang bepergian tanpa lemari obat, dan dengan suka rela mempercayai dirinya tak mampu bertahan tanpa pil, suntikan, dan banyak dokter.Banyak dokter mencoba menyembuhkan sakitnya. Meski mereka memiliki kedudukan yang seringkali tinggi, upaya mereka tidak berhasil. Dr. Grawitz gagal, dan begitu pula Profesor Bergmann dari Charite. Di bawah perawatan Dr. Grawitz, Hitler menjadi semakin kurus dan lemah. Tepat di saat itu Morell muncul dan melontarkan janjinya menjadikan Hitler sehat kembali dalam waktu kurang dari satu tahun.Buku ini memuat kisah Adolf Hitler sebagaimana dilihat dari penilaian dokter pribadinya, Theo Morell, sebuah kisah yang tidak ditemukan dalam buku-buku tentang Hitler yang lainnya. Melalui buku ini, kita akan mendapatkan gambaran yang jelas mengenai aspek psikologis dan medis dari sosok kontroversial yang pernah mempengaruhi jalannya sejarah peradaban umat manusia.",https://www.bukukita.com/babacms/displaybuku/79620.jpg,https://www.bukukita.com/babacms/displaybuku/79620_f.jpg
