,Book_ID,Judul,No. ISBN,Penulis,Penerbit,Tanggal terbit,Kategori,Description,img_small_link,img_large_link
282,283,Menarik Garis dan Mewarnai TK A semester 1,9786029237481,Tim HHK,Happy Holy Kids,Juni - 2015,Keterampilan,"Anak ber ""IQ"" tinggi, tetapi tidak maksimal, karena otak kiri dan otak kanan tidak seimbang. Salah satu faktor yang mempengaruhi keseimbangan otak kiri dan otak kanan adalah figur ayah dan ibu yang seimbang. Karena itu, mendidik anak adalah tugas bersama ayah dan ibu.Ir. Jarot Wijanarko, Pendiri Happy Holy Kids",https://www.bukukita.com/babacms/displaybuku/85757.jpg,https://www.bukukita.com/babacms/displaybuku/85757_f.jpg
283,284,Sunnah-Sunnah Pilihan Makanan dan Minuman Serta Hewan Qurban Sembelihan,978,Majelis Tertinggi Urusan Keislaman Mesir,Angkasa,2007,Islam,"Maukah makan dan minum kita berpahala di sisi Allah? Bagaimana tata cara Rasulullah menyembelih hewan qurban dan jenis hewan apa saja yang bisa diqurbankan? Resepnya hanya satu: Ikuti dan praktikkan etika-etika makan dan minum aja Rasulullah yang dipaparkan dalam buku Sunnah-sunnah Pilihan tentang makanan, minuman, dan hewan qurban sembelihan ini.Bagi umat Islam, etika makan dan minum sangat penting diketahui dan dipraktikkan karena akan berpahala jika dilakukan dengan benar sesuai tuntunan Rasulullah. Paling tidak, ada beberapa prasyarat makan dan minum yang berpahala dan mendapat keberkahan di sisi Allah SWT. Ada beberapa etika makan dan minum yang perlu menjadi perhatian kaum Muslim, seperti makanan dan minuman yang kita peroleh mutlak harus halalan thayyiban, mencuci kedua belah tangan sebelum makan/minum, minimal mengucapkan basmallah sebelum makan, makanlah secukupnya/ jangan sampai berlebihan dan kekenyangan, dianjurkan memakan makanan yang dekat dengan tempat duduk kita terlebih dulu, dilarang makan dan minum sambil berdiri, dan beberapa etika lainnya.Buku yang merangkum berbagai Sunnah-sunnah Pilihan tentang Makanan (Kitabul Ath'Imah) dan Minuman (Kitabul Asyribah) serta Hewan Qurban Sembelihan ini sangat cocok dan dapat menjadi pilihan utama bagi kaum Muslim agar dalam setiap langkah dan gerak kehidupannya sesuai seperti yang dicontohkan oleh Rasulullah Saw.",https://www.bukukita.com/babacms/displaybuku/58878.jpg,https://www.bukukita.com/babacms/displaybuku/58878_f.jpg
284,285,Krat-Krat Mencari Keadilan,9789790272316,Iwan Soekri Munaf,Titian Ilmu,2010,Anak-Anak,"Hikmah Menakjubkan di Balik Sebuah CeritaMembaca melupakan salah satu cara untuk mengasah kemampuan dalam menyerap informasi dan pengetahuan. Apalagi membaca buku bergenre cerita dapat menghadirkan dunia imajinasi, petualangan, dan hiburan yang begitu mengagumkan bagi setiap pembacanya. Berbagai cerita yang penuh akan nilai-nilai keteladanan ini diambill dari berbagai macam pengalaman hidup yang dapat dipetik hikmahnya dalam kehidupan sehari-hari. Selain itu, buku-buku seri cerita ini tentunya dikemas dengan alur cerita yang mengesankan, bahas ayang mudah dimengerti, dan kalimat yang lugas. Hal ini menjadikan buku seri cerita ini sebagai bahan bacaan yang menyenangkan serta koleksi buku yang perlu Anda miliki.",https://www.bukukita.com/babacms/displaybuku/58967.jpg,https://www.bukukita.com/babacms/displaybuku/58967_f.jpg
285,286,A Thing Called Us,9786026383204,Andry Setiawan,Haru Media,Oktober - 2017,Romance,view A Thing Called Us,https://www.bukukita.com/babacms/displaybuku/102750.jpg,https://www.bukukita.com/babacms/displaybuku/102750_f.jpg
286,287,DOT TO DOT TK dan Mewarnai TK A semester 1,9786029237443,Tim HHK,Happy Holy Kids,Juni - 2015,Keterampilan,"Kelekatan hubungan ayah dan anak sangat diperlukan bagi tumbuh kembang kejiwaan anak. Idi Amin, Hitler, dan diktator lainnya, setelah diteliti ternyata semuanyanya kehilangan figur ayah. Mendidik anak memang bukan hanya tanggung jawab ibu, tetapi juga ayah!Ir. Jarot Wijanarko, Pendiri Happy Holy Kids",https://www.bukukita.com/babacms/displaybuku/85759.jpg,https://www.bukukita.com/babacms/displaybuku/85759_f.jpg
287,288,Mukjizat Menakjubkan Nabi Muhammad,9786021139400,Baihaqi Nu'man,Adi Bintang,September - 2014,Islam,"Mengkisahkan rentetan mukjizat Nabi Muhammad Saw, sesuatu yang memang hanya dianugerahkan Allah Swt, kepada para Nabi-Nya. Mukjizat-mukjizat Rasulullah seperti Al-Qur'an, membelah bulan jadi dua, Isra Mi'raj, mimpi yang terbukti dan masih banyak lagi, tertuang secara menarik dalam buku ini.",https://www.bukukita.com/babacms/displaybuku/78481.jpg,https://www.bukukita.com/babacms/displaybuku/78481_f.jpg
288,289,"Pemilihan Umum anggota Dewan Perwakilan Rakyat, Dewan Perwakilan Daerah, Dan Dewan Perwakilan Rakyat Daerah",9786028189064,Tim Fokusmedia,Fokus Media,2012,Undang-undang,UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 8 TAHUN 2012LAMPIRAN:PEMBAGIAN DAERAH PEMILIHAN ANGGOTA DEWAN PERWAKILAN RAKYAT REPUBLIK INDONESIA,https://www.bukukita.com/babacms/displaybuku/55162.jpg,https://www.bukukita.com/babacms/displaybuku/55162_f.jpg
289,290,Qais bin Saad Sangat Mencintai Rasulullah Saw,978,Dinar Setiawan,Titian Ilmu,2007,Islam,"Qais bin Sa'ad tampaknya ditakdirkan untuk menjadi seorang dermawan yang alim, setia atau loyal pada Rasulullah sebagai pemimpin, serta ahli strategi perang ulung. Di manapun ia berada akan selalu berusaha menegakkan keadilan dan kebenaran. Bahkan, ketika kekuasaan kekhalifahan berpindah dari tangan Hasan bin Ali kepada Muawiyyah, Qais mengambil langkah yang tegas, yaitu mundur dari panggung politik karena dalam pandangan beliau, kepemimpinan Muawiyyah sudah melenceng dari kebenaran Islam. Inilah sebagian kisah Qais bin Sa'ad yang diuraikan dalam buku ini. Selain itu, diuraikan pula tentang masa kanak-kanak Qais sampai terjungkalnya ke-khalifah Hasan bin Ali.Di dalam buku ini pun dikisahkan tentang kehidupan keluarga Sa'ad yang menderita padahal beliau adalah putra Pemuka Suku Khazraj, kecerdikan dan kedermawan Sa'ad, keberanian Qais, Qais menjadi Gubernur Mesir, keterlibatan Qais dalam Perang Siffin, dan kesetiaan Qais pada Hasan bin Ali.",https://www.bukukita.com/babacms/displaybuku/59095.jpg,https://www.bukukita.com/babacms/displaybuku/59095_f.jpg
290,291,Roberta Cowell's Story,9789791583626,Roberta Cowell,E Nusantara,2008,Memoar,"Roberta Cowell, seorang mantan pilot pesawat tempur Perang Dunia II, penggemar mesin dan balapan, pernah tertawan pleh nazi, serta ayah dari dua orang anak, pada awal tahun 1951 dinyatakan secara sah sebagai perempuan dengan nama Roberta Cowell.    Dia bukan banci, homoseksual, hermaprodit, atau apa pun! Alam telah menjadikannya sedemikian salah, sehingga sekarang tugasnyalah untuk memperbaiki semuanya dalam proses perubahan dirinya menjadi seorang perempuan.    Dengan membaca buku ini, bisa mengubah cara pandang anda dalam melihatnya.",https://www.bukukita.com/babacms/displaybuku/20781.jpg,https://www.bukukita.com/babacms/displaybuku/20781_f.jpg
291,292,DOT TO DOT PG/PAUD semester 2,9786029237191,Tim HHK,Happy Holy Kids,Juni - 2015,Pendidikan Anak,"Lingkungan keluarga dan sekolah yang positif, antusias, ceria dan menyenangkan adalah salah satu aspek yang mendorong kecerdasan secara umum, apalagi kecerdasan emosi dan kecerdasan spiritual.",https://www.bukukita.com/babacms/displaybuku/85744.jpg,https://www.bukukita.com/babacms/displaybuku/85744_f.jpg
292,293,Khabab bin Arats : Cahaya Islam Menerangi Jiwanya,978,A. Setiawan,Titian Ilmu,2007,Islam,"Di hadapan Allah SWT, seorang budak ataupun bangsawan tidaklah jadi pertimbangan. tetapi, keshalehanlah yang menjadi penilaian utama. Khabab bin Arats juga tadinya adalah seorang budak yang kemudian oleh Allah diberi hidayah sehingga ia muslim yang taat.Ia juga seorang pandai besi yang andal. Khabab merupakan salah seorang sahabat Nabi yang setia. Pada awal-awal masa keislamannya, Khabab juga pernah menerima perlakuan keji kaum kafir Quraisy. Tetapi, keimanan pula yang telah menyelamatkan jiwanya dari kemusyrikan.",https://www.bukukita.com/babacms/displaybuku/58935.jpg,https://www.bukukita.com/babacms/displaybuku/58935_f.jpg
293,294,When History Collides - The War an Eclipse,9786021258255,Masarah Bey,Matahari,September - 2013,Fantasi,"Stella Lanchaster. seorang gadis masa depan berusia lima belas tahun, bersama teman lucu dan menyenangkan, Galbbie Lamord, tidak sengaja tersesat di zaman sejarah The War and Eclipseyang merupakan sejarah terkelam di Negeri Gonvierra. Di sana, mereka bertemu dengan seorang anak laki-laki dari prajurit Negeri Gonvierra, Wilkins Losard. Mereka juga bertemu salah seorang tokoh sejarah, Pangeran Vladmyre. Di sinilah awal mula petualangan yang seru dan menengangkan! Akankah mereka berhasil berlomba dalam misi pencarian kotak ajaib? Akankah takdir sang keturunan misterius dapat mengubah segalanya?",https://www.bukukita.com/babacms/displaybuku/68097.jpg,https://www.bukukita.com/babacms/displaybuku/68097_f.jpg
294,295,Antara Musibah. Ujian dan Azab,9789790272484,H. Restianti,Titian Ilmu,September - 2014,Islam,"Musibah dan ujian hampir dialami oleh semua umat manusia terdahulu sampai umat Nabi Muhammad Saw. Musibah dan ujian sebenarnya bentuk kasih sayang Allah Swt.. Bahkan, sebuah azab pernah ditimpakan kepada kaum Nabi Luth a.s. Azab merupakan sebuah ungkapan yang digunakan untuk menunjukkan kejadian tidak menyenangkan yang Allah timpahkan kepada mereka yang bermaksiat atau orang-orang yang tidak beriman.Musibah dan ujian tidak akan pernah hilang dari kehidupan setiap makhluk Allah selama kita masih hidup di dunia maka selama itujuga ujian tidak akan pernah hilang. Dengan adanya ujian dan cobaan ini, kehidupan seseorang akan mengalami perubahan dari satu kedudukan ke kedudukan lainnya, bahkan dengan adanya ujian ini seseorang yang rendah menjadi tinggi dan sebaliknya tidak sedikit dengan ujian ini yang mulanya tinggi menjadi rendah karena gagal dalam menjalaninya. Melalui buku ini, mudah-mudahan kalian menjadi insan yang takwa dan tabah dalam menjalani musibahatau ujian lainnya.",https://www.bukukita.com/babacms/displaybuku/78569.jpg,https://www.bukukita.com/babacms/displaybuku/78569_f.jpg
295,296,What Boys Want,9786029707816,Tyo Raha & Anggie Anggraini,Leutika,Agustus - 2010,Remaja,"Oh God, apa sih maksud tuh cowok? Kemarin deketin, eh, sekarang ngediemin!Gals, pernah kan dibikin pusing gara-gara cowok? Emang aneh bin rumit. Bisa nyenengin, bisa juga nyakitin. Huff. terpaksa ngelap dah deh, kalau ngebahas makhluk yang satu ini.But, jangan keburu patah arang dong. Tahu nggak sih, kalau kamu udah ngeh sama karakter cowok, nggak bakalan deh kamu bilang 'aneh' atau sampai ngelap dah. dskinh pudinhnys. Nah, buku ini nih bakal ngajak kamu, para cewek, buat tahu lebih banyak seluk-beluk tingkah para cowok...",https://www.bukukita.com/babacms/displaybuku/33366.jpg,https://www.bukukita.com/babacms/displaybuku/33366_f.jpg
296,297,30 Perubahan Tubuh Selama Hamil,9786027249837,Rusmalia B.Salman,Kemang Studio Aksara,April - 2016,Pengetahuan Kesehatan,"Buku ini bukan hanya memberikan informasi bagaimana menyiapkan kehamilan yang sehat, tetapi yang terpenting bagaimana mengenali semua perubahan selama kehamilan, komplikasi yang bisa terjadi dan bagaimana mswaspadai berbagai hal selama kehamilan.Penting diketahui bahwa selama kehamilan perubahan tubuh tidak dapat dihindari, mulai dari perut yang membuncit sejalan dengan pertumbuhan janin dalam kandungan, rasa mual, muntah-muntah pada awal kehamilan serta mood yang berubah-ubah. Perubahan hormon adalah salah satu yang menimbulkan berbagai masalah yang sering membuat ibu hamil kurang nyaman.Dengan memhaca buku ini, maka semua informasi tersebut dapat diketahui, sehingga ibu hamil tidak akan kaget jika mengalami berbagai perubahan yang timbul Bahkan bisa iebih nyaman menghadapi bila gejala tetap.",https://www.bukukita.com/babacms/displaybuku/92176.jpg,https://www.bukukita.com/babacms/displaybuku/92176_f.jpg
297,298,Bye-bye Patah Hati : Tips Berdamai dengan Putus Cinta,9786029707823,Fanayun,Leutika,Agustus - 2010,Remaja,"Hidup itu cuma sekali, guys, so, jangan sampai umur kamu terbuang hanya untuk menangisi masalah-masalah remeh, seperti; ditinggal kekasih, pacar selingkuh, hubungan nggak disrestui ortu, atau ditolak pujaan. Aduh...kasihan bangat deh, kalau hidup yang singkat ini habis cuma karena tuh masalah...Sia-sia banget, rasanya.Ada penyakit pasti ada obatnya. Nah, ada masalah pasti ada solusinya. Jadi, tenang. Kamu yang lagi mencari ramuan buat obat SAKIT HATI, nggak usah jauh-jauh deh pergi ke dukun ahli. Cukup duduk manis sambil menelusuri buku ini...+ 4 jurus mengusir patah hati+ Menghindari dari jurang yang lebih dalam+ Nemuin hoki di balik sebuah ujian",https://www.bukukita.com/babacms/displaybuku/33369.jpg,https://www.bukukita.com/babacms/displaybuku/33369_f.jpg
298,299,Abdullah bin Masud : Suaranya Paling Merdu Kalau Sedang Membaca Al-Quran,9789799012968,Dinar Setiawan,Titian Ilmu,2007,Islam,"Abdullah bin Mas'ud adalah seorang pengembala kambing yang sangat bertanggung jawab akan binatang gembalanya. Ia mendapatkan kedudukan terhormat di sisi Nabi berkat keimanan dan ketaqwaannya kepada Allah SWT. Ia menjadi pusat kebencian kaum Quraisy karena keberaniannya membaca ayat Al Quran di hadapan majelis kaum Quraisy dengan lantang. Dalam Perang Badar, Abdullah bin Mas'ud berjasa karena berhasil memenggal kepala Abu Jahal, musuh kaum muslim terbesar.Selain jasanya di arena pertempuran, Abdullah bin Mas'ud juga terkenal memiliki suara yang paling merdu ketika membacakan ayat-ayat suci Al Quran. Ada satu riwayat menerangkan, jika sedang membaca Al Quran, malaikat turun untuk mendengarkan suara beliau.",https://www.bukukita.com/babacms/displaybuku/58941.jpg,https://www.bukukita.com/babacms/displaybuku/58941_f.jpg
299,300,Mengenal Angka TK A semester 2,9786029237245,Tim HHK,Happy Holy Kids,Juni - 2015,Taman Kanak-Kanak,"Berbagai jenis buku aktivitas untuk anak diperlukn sebagai sarana belajar dan berlatih anak-anak di rumah. Dengan begitu mereka akan bergairah belajar, sehingga mereka menjadi pintarIr. Jarot Wijanarko, Pendiri Happy Holy Kids",https://www.bukukita.com/babacms/displaybuku/85767.jpg,https://www.bukukita.com/babacms/displaybuku/85767_f.jpg
300,301,Kitab Pintar Kimia SMP/MTS,9786023080465,Fadel Aprilia,Kurniaesa,Mei - 2016,Sekolah Menengah Pertama,"Buku ini memaparkan dengan lengkap, jelas dan mudah tentang bagaimana memahami rumus-rumus kimia, dan bagaimana menyelesaikan soal-soal kimia dengan cepat dan benar.Unsur-unsur senyawa, campuran, atom, ion dan molekul yang menjadi dasar dalam pelajaran kimia juga dijelaskan dengan rinci, berikut contoh-contoh soalnya.Yuk, mari senang belajar kimia dan mempelajari rumus-rumusnya dengan cara mudah. Semoga kamu bisa menjadi ahli kimia di masa depan ya.Selamat belajar!",https://www.bukukita.com/babacms/displaybuku/93350.jpg,https://www.bukukita.com/babacms/displaybuku/93350_f.jpg
301,302,Hijab Style : 39 Kreasi Ala Hijabers,9786028388412,Sofie Beatrix & Zahra Nurinnisa,Lingua Kata,November - 2011,Hijab Tutorial,"  Dalam buku ini tips hemat, kreatif, dan trendi yang didambakan para hijabers habis-habisan diulas. Mulai dari perpaduan satu busana dasar dengan berbagai padanan, model hijab yang kreatif tanpa ribet hingga cara berfoto yang menarik.Tunggu apalagi? Bersiaplah untuk tampil!Buat yang baru berjilbab atau yang berencana berjilbab wajib baca buku ini! Nggak perlu takut mati gaya dan nggak modis karena berjilbab. Nggak perlu takut habis banyak duit buat juga buat berjilbab. Karena semua trik dan rahasia tampil cantik untuk berjilbab dikulik di sini. Bagus juga nih buat kado ultah teman yang belum berjilbab :) itung-itung syiar :)Ratih Trisetyaningsih - Penyiar She Radio dan Pengurus Hijabers CommunityBerkerudung bukan menjadi penghalang muslimah untuk tetap tampil modis yang tentunya sesuai syariat. Berkerudung justru menjadi salah satu cara berkreasi memberikan tampilan yang modis sesuai gaya kepribadian sekaligus juga bersyiar mengajak muslimah lainnya untuk berkerudung. Buku ini memberikan panduan bagaimana caranya, So Love Hijab & Keep in Style!Indriya R.Dani-Penulis, Model & Personil SaQina Voice",https://www.bukukita.com/babacms/displaybuku/48037.jpg,https://www.bukukita.com/babacms/displaybuku/48037_f.jpg
302,303,Adik Kebanggaan (Seri Pendidikan Akhlak untuk Anak),9786026334015,"Mutiara Nurul I, Alyssa Najwa S., Afifah Marsyla f., Kamila f., Nathania Luvena L., Aldini Hwang",Indiva Media Kreasi,Agustus - 2019,Pendidikan Anak,"""Ma, adik itu kok berbeda, ya? Masak yang lain pada belajar, tapi dia malah asyik bikin mainan."" bisikku pada mama, takut adik akan mendengar.""Hush, jangan bilang begitu! Setiap anak kan diciptakan dengan kelebihan dan kekurangan masing-masing. Jangan merasa kakak sudah pintar, tapi adik yang belum begitu paham teori, malah Kakak ledek di belakangnya."" balas mama yang membuat hatiku terperangah.Hmm, kira-kira apa, ya, yang membuat Dira merasa adiknya beda dengan teman seusianya? Lantas, bagaimana cara Dira menyikapi sikap adiknya yang berbeda ini?Temukan jawabannya dalam buku ini, Kawan. Selain cerpen berjudul Adik Kebanggaan, masih ada 7 cerpen menarik lain lho.Dijamin keren dan mengasyikkan untuk dibaca.",https://www.bukukita.com/babacms/displaybuku/113267.jpg,https://www.bukukita.com/babacms/displaybuku/113267_f.jpg
303,304,Masihkah Kau Mencintaiku???,9786028597548,Aprillina Prastari & Bayu Ansani DKK,Leutika,Januari - 2001,Motivasi,"Penuh inspirasi, motivasi, dan persepsi tentang apakah itu cinta? Seberapa pentingkah cinta? Dan pada posisi apakah cinta itu berada? Buku ini wajib dibaca oleh siapa pun sebagai gambaran realitas suatu hubungan dan digunakan sebagai motivasi dan persiapan, bukan ketakutan dalam menghadapi gerbang pernikahan. Semua akan indah jika dijalankan dengan cinta.- Fahrina Fahmi Idris, Ketua Umum IWAPIBerumah tangga memang memerlukan cinta. Tapi, cinta bukan segala-galanya. Berumah tangga juga memerlukan kematangan. Kematangan dalam mengleola diri, keluarga, dan kematangan dalam menghadapi problematika hidup. Kematangan yang harus dimiliki seorang laki-laki sebagai kepala rumah tangga dan ayah, serta seorang perempuan sebagai istri dan ibu. Buku ini menggambarkan kekecewaan, kesedihan luka, dan perjuangan seorang perempuan ketika tak ada kematangan dan kesiapan untuk berkembang dari pasangannya. Buku ini baik untuk dijadikan renungan bagi yang telah berumah tangga dan pelajaran bagi yang akan berumah tangga. Bukan untuk menakutkan-nakuti, tetapi untul memantapkan langkah. Selamat membaca!- Ledia Hanifa, Anggota DPR RI dan Pemerhati Masalah KeluargaGong hei, gong hei! Buku ini sangat menarik untuk dibaca. Sarat akan pengalaman empiris pasangan anak-cucu Adam. Bahasanya mudah dimengerti dan isinya penuh dengan makna. Bacalah buku ini sampai habis! Dengan begitu Anda akan tahu rahasianya.- H. Abdul Muhaemin Karim M.A. Da'wah Executive, Islamic Union of Hong KongBenar kata sebuah pepatah; marriage is not a word, it's a sentence, life sentence. Dan, ksaih-kisah di dalam buku ini mengajak kita menyelami kalimat-kalimat dalam kehidupan pernikahan yang tak selamanya indah. Kita juga diajak memaknai kembali arti cinta. inspiring dan menggugah!- Rahmadiyanti Rusdi, Sekjend PLP Pusat",https://www.bukukita.com/babacms/displaybuku/37688.jpg,https://www.bukukita.com/babacms/displaybuku/37688_f.jpg
304,305,Kiat Jitu Mendapatkan Pekerjaan Idaman,9789791725002,Edwin Solahuddin,Exceed,Februari - 2008,Non-Fiksi Umum,"Buku ini adalah buku panduan mencari kerja yang praktis, cerdas, mudah dimengerti, dan dapat diaplikasikan siapa saja. Buku ini ditulis berdasarkan observasi dan telah dipraktekkan langsung oleh penulisnya. Sebuah buku yang ditulis oleh orang yang pernah mengalami dan merasakan hal yang sama.    Di dalam buku ini dipaparkan beberapa bahasan penting yang pasti akan Anda lakukan dalam usaha mendapatkan pekerjaan yang Anda idam-idamkan.     Yang pertama jalan cara memilih pekerjaan yang dirasa paling sesuai dengan diri kita. Yang kedua merupakan kiat praktis mencari lowongan kerja dengan biaya tidak terlalu besar, relatif cepat, dan efektif. Yang ketiga adalah panduan ringkas membuat surat lamaran, CV dan resume, serta berbagai tips menghadapi psikotes dan wawancara. Semuanya di atas diuraikan dalam dua belas bab.    Isi buku ini telah membantu sang penulis memperoleh pekerjaan. Semoga hal serupa juga terjadi pada Anda.    ***    Panduan praktis:  - Menemukan Lowongan Yang Tepat  - Membuat Surat Lamaran  - Mengikuti Tes Seleksi dan Wawancara Sampai Anda menemukan Pekerjaan Yang Anda Idamkan",https://www.bukukita.com/babacms/displaybuku/6733.jpg,https://www.bukukita.com/babacms/displaybuku/6733_f.jpg
305,306,Super Berkah - Buah Manis Berbakti Kepada Ibu-Bapak,9789791096836,Abu Hamida MZ,Pustaka Hidayah,2013,Islam,"Di beberapa tempat dalam Alquran, disebutkan keharusan untuk berlaku baik (ihsan) kepada orangtua langsung setelah perintah bertauhid. Penggandengan ini menunjukkan tingginya kedudukan perintah tersebut. Itulah sebabnya Islam memberikan aturan-aturan yang perlu dalam hal menghormati kedua orangtua dan menjaga hak-hak mereka. Bahkan, kita temukan bahwa Islam mengatur bagaimana cara bertutur kata kepada keduanya: Maka, sekali-kali janganlah engkau mengatakan kepada mereka berdua ucapan ""ah"" dan janganlah membentak mereka dan ucapkanlah kepada mereka kata-kata mulia [QS 17:23].Buku ini menjelaskan secara rinci bagaimana berbakti dan memenuhi perintah tersebut secara sempurna. Dengan gaya penulisan yang mudah, lancar, dan dilengkapi dengan contoh-contoh dari berbagai kisah menarik, buku ini mengantar Anda untuk mendapat kehidupan ""super berkah"" dan kebaikan berlimpah dalam kehidupan. Jangan lewatkan dan nikmati buah manis dari bakti Anda kepada kedua orangtua. Benarkah kita sudah berbakti kepada orangtua kita sebgaimana semestinya?Apakah kita selalu mengutamakan kerelaan keduanya, ataukah hanya sesekali? Seberapa sering kita menolak sesuatu yang diinginkan keduanya hanya karena kemalasan kita? Ketahuilah, antara berbakti dan durhaka hanya terpisah oleh selaput tipis yang rapuh.",https://www.bukukita.com/babacms/displaybuku/63568.jpg,https://www.bukukita.com/babacms/displaybuku/63568_f.jpg
306,307,Muda-Mudi yang Dicintai Nabi,9789792553949,Alaik S.,Pustaka Pesantren,Juli - 2011,Islam,"""Pada hari kiamat, setiap orang disidang oleh Tuhannya dan ditanya tentang masa mudanya digunakan untuk apa."" (HR. at-Tirmidzi)-----------------------------------------------------------Nabi Muhammad Saw. sadar benar bahwa di tangan para pemuda dan pemudilah, nasib nusa, bangsa, dan agama dipertaruhkan. Oleh karena itu, perhatian beliau kepada para tunas-tunas generasi ini sangat besar. Selain memberikan banyak nasihat, terbukti dalam sejarah beberapa kali Nabi Saw. mendidik para pemuda dengan memercayakan sejumlah urusan besar kepada mereka.Buku ini mengeksplorasi teladan dan sabda-sabda Rasulullah tentang bagaimana memanfaatkan masa muda yang indah namun penuh gejolak itu. Selain menumbuhkan pencerahan dan kesejukan jiwa, sabda dan teladan beliau juga dapat menyalakan semangat tiada tara sehingga masa muda menjadi sebuah pondasi kuat bagi kejayaan masa depan.",https://www.bukukita.com/babacms/displaybuku/44289.jpg,https://www.bukukita.com/babacms/displaybuku/44289_f.jpg
307,308,Satu Cerita Tentang Cinta (Disc 50%),9797944883,Ari Keling,MediaKita,Januari - 2015,Romance,"Aku sebuah boneka. Aku mendapati diriku terperangkap pada satu kata, cinta. Salahkah jika aku mencintai seorang gadis manis bernama Irma?Aku bernapas di dekat Irma, tetapi dia tidak tahu kalau aku juga menghela udara yang sama di kamar ini. Aku bisa merasakan detak jantungnya yang menyenandungkan irama cinta, tetapi dia tidak menyadari kalau jantungku pun berdetak seirama dengan jantungnya. Dia tidak sadar kalau selama ini detak jantung kami sering sekali bersatu memainkan irama lagu tentang cinta. Cinta kami yang sama-sama terpasung. Cinta yang aku jaga seutuhnya untuk Irma, tetapi Irma semakin menyuburkan cintanya untuk Rian.Menyakitkan!Lantas, bagaimana aku bisa membuat Irma tahu ada cinta di hatiku, sementara dia tak bisa mendengar suaraku? Apa yang harus aku lakukan agar Irma mengerti rasa ini, sedangkan seluruh manusia menganggapku sebuah benda mati?....................................................Sebuah kisah tentang patah hati dan tidak ada pilihan lain selain menerima. Sebuah perjalanan tentang hidup dan jatuh cinta. Lagi.(Devania Annesya, penulis X: Kenangan yang Berpulang, Elipsis dan Muse)",https://www.bukukita.com/babacms/displaybuku/81748.jpg,https://www.bukukita.com/babacms/displaybuku/81748_f.jpg
308,309,BERSAMA SYEKH DI DISKOTIK : Kisah-Kisah Kehidupan dan Kematian Yang Menggetarkan Jiwa,978,Abdul Hakim El Hamidy,Pustaka Al-Fadhilah,Desember - 2010,Islam," ""Keesokan harinya, ketika orang-orang berdesakan memenuhi  diskotik, saat panggung hiburan diisi banyak kemungkaran, dan setan-setan  mengungkung manusia dan bertepuk tangan, tiba-tiba tirai tertutup. Tirai lalu  dibuka kembali. Tampaklah seorang tua bersorban putih, memegang gamis dan  dengan tenang duduk di atas kursi. Para pengunjung pun terkejut. Sebagian dari  mereka mengira itu adalah satu adagen lawak. Orang tua itu tidak lain adalah  syekh Mukhlis."" Bagaimanakah kelanjutan kisahnya? Apa yang akan dilakukan  oleh Syekh Mukhlis, dan apa yang akan terjadi padanya? Benarkah ini merupakan fenomena  kekinian yang dianggap nyeleneh, atau justru menjadi keteladanan bagi para  ulama dan tokoh islam lainnya? Buku ini memotret kisah perjalanan kehidupan dan kematian  manusia. Kisah tentang syekh Mukhlis adalah bagian dari kehidupan tersebut.  Selain kisah bersama syekh di diskotik, pembaca akan menemukan kisah-kisah  kehidupan dan kematian yang menarik, yang dapat menggetarkan hati dan menambah  keimanan, lalu menyadarkan diri kita bahwa sesungguhnya ajal pasti akan  menjemput, dan untuk itu kita akan mempersiapkan diri untuk kehidupan yang  kekal nan abadi.",https://www.bukukita.com/babacms/displaybuku/41843.jpg,https://www.bukukita.com/babacms/displaybuku/41843_f.jpg
309,310,The Dream In Taipei City,9786021614167,Mell Shaliha,Indiva Media Kreasi,Maret - 2014,Romance,view The Dream In Taipei City,https://www.bukukita.com/babacms/displaybuku/72949.jpg,https://www.bukukita.com/babacms/displaybuku/72949_f.jpg
